,ROWID,State lgd code,District lgd code,Sub-District lgd Code,ULB_RLB_Village lgd Code,Households,Population,Male population,Female population,Population in the age group 0 to 6 years,Male Population in the age group 0 to 6 years,Female Population in the age group 0 to 6 years,Scheduled Caste population,Male Scheduled Caste population,Female Scheduled Caste population ,Scheduled Tribe population,Male Scheduled Tribe population,Female Scheduled Tribe population ,Literate population ,Male literate population,Female literate population ,Illiterate population,Male illiterate population ,Female illiterate population ,Working population,Male working population,Female Woking population,Number of main workers,Number of male main workers,Number of female main worker,Number of main workers as cultivators,Number of male main workers as cultivators,Number of female main workers as cultivators,Number of main workers as agricultural labourers,Number of male main workers as agricultural labourers,Number of female main workers as agricultural labourers,Number of main workers in the household industry,Number of male main workers in the household industry,Number of female main workers in the household industry,Number of  main workers as Other workers,Number of male main workers as Other workers,Number of female main workers as Other workers,Number of marginal workers,Number of male marginal workers,Number of female marginal workers,Number of marginal workers as cultivators,Number of male marginal workers as cultivators,Number of female marginal workers as cultivators,Number of marginal workers as agricultural labourers,Number of male marginal workers as agricultural labourers,Number of female marginal workers as agricultural labourers,Number of marginal workers in the household industry,Number of male marginal workers in the household industry,Number of female marginal workers in the household industry,Number of marginal workers as Other workers,Number of male marginal workers as Other workers,Number of female marginal workers as Other workers,Number of marginal workers  who worked for 3 to 6 months,Number of male marginal workers  who worked for  3 to 6 months,Number of female marginal workers who worked for  3 to 6 months,Total Number of marginal workers as cultivators who worked for 3 to 6 months,Number of male marginal workers as cultivators who worked for 3 to 6 months,Number of female marginal workers as cultivators who worked for 3 to 6 months,Number of marginal workers as agricultural labour who worked for 3 to 6 months,Number of male marginal workers as agricultural labour who worked for 3 to 6 months,Number of female marginal workers as agricultural labour who worked for 3 to 6 months,Number of  marginal workers in household industry who worked for 3 to 6 months,Number of male marginal workers in household industry who worked for 3 to 6 months,Number of female marginal workers in household industry who  worked for 3 to 6 months,Number of marginal workers as Other workers who worked for 3 to 6 months,Number of male marginal workers as Other workers who worked for 3 to 6 months,Number of female marginal workers as Other workers who worked for 3 to 6 months,Number of marginal workers  who worked for 0 to 3 months,Number of male marginal workers  who worked for 0 to 3 months,Number of female marginal workers  who worked for 0 to 3 months,Number of marginal workers as cultivators who worked for 0 to 3 months,Number of male marginal workers as cultivators who worked for 0 to 3 months,Number of female marginal workers as cultivators who worked for 0 to 3 months,Total nuumber of marginal workers as agricultural labour who worked for 0 to 3 months,Number of male marginal workers in agricultural labour who  worked for 0 to 3 months,Number of female marginal workers as agricultural labour who worked for 0 to 3 months,Number of marginal workers in household industry who worked for 0 to 3 months,Number of male marginal workers in household industry who  worked for 0 to 3 months,Number of female marginal workers in household industry who  worked for 0 to 3 months,Number of marginal workers as Other workers who worked for 0 to 3 months,Number of male marginal workers as Other workers who worked for 0 to 3 months,Number of female marginal workers as Other workers who worked for 0 to 3 months,Number of Non workers,Number of male Non workers,Number of female Non workers,Source Year,YearCode
Male Population in the age group 0 to 6 years,0.10671362471212678,0.004324955461511288,0.021481359280701405,0.07724154362682308,0.03551079492847854,0.9797806432937393,0.9903347720334705,0.9909480447392927,0.9886514858272556,0.999728125250145,1.0,0.9987864732597327,0.9039494532946286,0.9052605434664797,0.9018800089984863,0.48991931018958434,0.5057669885542329,0.47315607787987884,0.9836000870973989,0.9858373256615208,0.9795038104776724,0.9886414659891889,0.9871576879755565,0.9882841521918828,0.9795572744943006,0.984242737437847,0.9328247635257374,0.976195549095841,0.9811822353448417,0.9204461370571194,0.31702274907104316,0.32697400211815975,0.21248945955797474,0.35581353085163203,0.4106891806570862,0.21852920540253484,0.8432679124976239,0.842988645903455,0.7136678381162466,0.9713108821936285,0.976300907917751,0.9153978009575808,0.8906487867024053,0.8871915385837275,0.8650812723712896,0.29812730064851206,0.348861449663,0.22376125241847117,0.2151409093503386,0.24239709018451935,0.15405460631701143,0.7507238704559842,0.7177676901869229,0.7022040346825694,0.9081608008741046,0.9053907534055682,0.8956914708661607,0.8879921032218534,0.8860320359269697,0.8625907224106996,0.3510272813443116,0.3970099828577262,0.25906562296232166,0.21702714344940793,0.24171780556093908,0.15363524744297888,0.7400980860430655,0.7021813627886535,0.6917223994271164,0.9020451846654998,0.9026528464451236,0.8867697362222251,0.7832627966553503,0.8056786700132459,0.6464743576862376,0.04795822895783999,0.057692196058553025,0.035911036651281265,0.11873540637946385,0.13998770434654062,0.08052241682411163,0.6649067345973173,0.6778882650153275,0.5730587162322253,0.8841350554119284,0.8642848325525408,0.8439082645736214,0.9918044988316519,0.9921030555109004,0.9907132420123715,,
Female Population in the age group 0 to 6 years,0.10864962628235492,0.006120858040800753,0.02106536901705651,0.07900467496674561,0.03565000615411376,0.9846633466281076,0.9926826060126966,0.9924199322463573,0.9919744791231192,0.9996632877344296,0.9987864732597327,1.0,0.9090720343007453,0.9096309417370263,0.9077960685664405,0.49132437590911304,0.5069305415336962,0.47480253840409303,0.9866438202281655,0.987870547434687,0.98376707740993,0.9884790318154253,0.9862051932496426,0.9887775368530919,0.9841171781867042,0.98649666195771,0.9454956613127795,0.9803861391500147,0.983078150135453,0.9336240200614622,0.31789918590178534,0.32712901900896874,0.2146318966455332,0.3592940442174589,0.41393822082242543,0.22183184601127853,0.846788239262177,0.845045808479276,0.7196465044217167,0.975428797605441,0.9781169221647897,0.9288106504098745,0.8980705462330318,0.8935731416155872,0.8737662435952872,0.30112226900400035,0.35214513298012096,0.22615519391389766,0.2183897226547704,0.24526268384922467,0.15716547147409315,0.7528015567364376,0.7216522481241329,0.7026994912484995,0.9157307613341127,0.9117176511406075,0.905078191000404,0.8955320190465528,0.892580685030131,0.8713046446692382,0.354684843306158,0.40085371081809906,0.2619617613152488,0.22031910917207612,0.244657620675331,0.15669034201479748,0.7415399149058798,0.7053301532308953,0.6917008275151761,0.9097287045340283,0.9091699271456536,0.8961002486166696,0.7889057811776268,0.810411407213501,0.6526416777376014,0.04813390746019852,0.05797265455797219,0.035997380606345206,0.12048165468253468,0.14135731200658108,0.08228695871579869,0.668785626977578,0.6839158156367448,0.575039954331928,0.8902935232605088,0.868957236353367,0.8524365544394804,0.9927577809258635,0.9925123911877378,0.9919791314118808,,
Scheduled Caste population,0.1260373685159268,0.005715934830697441,0.026195798348660655,0.08607469449768902,0.0390048732880171,0.8984503689391913,0.90296138188768,0.8961556587603852,0.9096455794731554,0.9066482552673369,0.9039494532946286,0.9090720343007453,1.0,0.9996556847697585,0.9996131032335773,0.41268728005635746,0.42678572432204787,0.39781106598006816,0.896560664019462,0.8912800212934796,0.9016919710029179,0.902333580127128,0.8938069007489559,0.9079588334144988,0.8874616616015978,0.8825926764999069,0.8777313160013199,0.8784057390149227,0.8744529840377627,0.8618631668906965,0.3140453107539266,0.3257068858499632,0.20674862387928758,0.35994157576519126,0.40920361460986865,0.23054269539322314,0.7768401409378607,0.7753303772421949,0.6600187768764401,0.8711863315166544,0.8672959430354121,0.8553644333330744,0.862580667707133,0.8624278001120531,0.8331545227656538,0.27627871969192314,0.32707367672846765,0.2048648532573582,0.2170285283607642,0.24299900095013777,0.15691134455076067,0.6960784798798283,0.688207163148082,0.6337844601629149,0.8817451539479002,0.8802586411646436,0.867744602561634,0.8608141212676368,0.8618772223154482,0.8319650649045063,0.3267029918553873,0.37336475739817887,0.23851735661208237,0.21799443636086777,0.24164364082484102,0.15546836222349328,0.6857317040096991,0.6710238097529694,0.6252073684560349,0.8767134182485279,0.8784782548377615,0.8600858562597156,0.7534980284955889,0.7796971946474331,0.6153779366149533,0.041173647204790435,0.05126384751123288,0.029697252012527143,0.12276362078740542,0.14267461422324562,0.08499064784513413,0.6181701802190868,0.6580774753620041,0.514489495999583,0.8517487879132832,0.8345356752780744,0.8092401264925572,0.9078459069020917,0.9072772973218098,0.9073322327313648,,
Male Scheduled Caste population,0.12600620149035685,0.003559132250050004,0.026732441864832954,0.0859651863946294,0.03890091646458787,0.8969950335886705,0.9031820188860435,0.8967514409721297,0.9094473442123334,0.9076036312364794,0.9052605434664797,0.9096309417370263,0.9996556847697585,1.0,0.9985390835656273,0.4096578991537766,0.4237749087189678,0.3947677624130892,0.8961529081736528,0.8913216226586196,0.9007405758303682,0.9047609305711339,0.8967434075208602,0.9099598079900142,0.8864443846996997,0.8824308296308059,0.8736845419966905,0.877118537411446,0.87406419530393,0.8570442597313965,0.3147929193511325,0.32708008753678586,0.20599953750183628,0.35902142767888584,0.4095991087622899,0.22776727158468044,0.7795462935142968,0.7800019613008979,0.6582749956341557,0.8697476472921571,0.8666936534971678,0.8505463392750549,0.8641881697779062,0.8651006197317144,0.8331517247947657,0.27720604661484194,0.3284363125266502,0.20537744017499227,0.21792886609968068,0.24503992194308954,0.1565428317883035,0.6999327262245301,0.6937717703358848,0.6359557853061287,0.8830109866217072,0.882491089991483,0.8674651579621262,0.8623786633990762,0.8644005362566249,0.832112842664429,0.32769509390884505,0.37479292127246244,0.23904393883736957,0.21879280483494631,0.24354505148249816,0.15502408350204486,0.6897500920056527,0.676834801610758,0.627426609779317,0.8779647038349568,0.880570891424439,0.8600410687673092,0.7551521729651646,0.783009027436283,0.6144746138604221,0.041555664011945485,0.05179033427744612,0.02993953392081294,0.12361071966869261,0.14431736429805078,0.08502285986204203,0.6208486480237504,0.6620031793718368,0.5160129360948539,0.8530254697520276,0.837535921523236,0.8070135103668061,0.9088388037038833,0.9088864417216351,0.9079690494419399,,
Female Scheduled Caste population ,0.125975641465035,0.00799789496094974,0.025607248450973286,0.08612605777160129,0.03908574286745314,0.899317530730717,0.9020485846699107,0.8948503165032061,0.9091717702899598,0.9049538466204882,0.9018800089984863,0.9077960685664405,0.9996131032335773,0.9985390835656273,1.0,0.41558819928134644,0.4296563636082389,0.40073792863775914,0.8963187894957461,0.8905657887180726,0.9020225079140134,0.8990820905149098,0.89002210534061,0.9051550820239594,0.8878727340466964,0.8821006353212258,0.8813610375459271,0.8791097464889425,0.8742076262487853,0.866323297353861,0.3130167054264137,0.3240063701041025,0.2073872219618056,0.36064632051768447,0.40847671080465525,0.23331136513850198,0.7733874707886228,0.7697954419752518,0.6613709691801901,0.8720563419926157,0.8672822819845494,0.8598285881486809,0.8602281246248531,0.8589461121100411,0.8325310577638986,0.27508800490094143,0.3253833333946491,0.20416746647133122,0.21591097163472947,0.24065287443790376,0.1571839978686898,0.6914695282241278,0.6817911099348436,0.6310062792483896,0.8797403785214776,0.8772303491916706,0.8673883814906856,0.8585084448871169,0.8585544275639673,0.8311828806687914,0.32540570108957334,0.3715701476082746,0.23777983190318722,0.216984243036158,0.23944641737953914,0.15582241405918798,0.6809565381379391,0.6643595032036897,0.6223848442749528,0.8747278463055572,0.8755995055256278,0.8594866519787516,0.7511780603357533,0.7756003420939973,0.6158727890593121,0.040737743472718954,0.0506672158648594,0.029418099177622004,0.12177337416304418,0.14082598931832527,0.08489259976942609,0.6148661570526698,0.6534213491567649,0.5124877826891043,0.8497550657556436,0.8307278793924328,0.8109919379995794,0.906110824865093,0.904889406903474,0.9059749895847717,,
Scheduled Tribe population,0.09350427419600792,0.0861590915764166,0.0030288605441383763,0.047563463362734454,0.05264645581324861,0.4740522672029699,0.47573700627638654,0.47471187607644516,0.47640116914123665,0.4907327958423862,0.48991931018958434,0.49132437590911304,0.41268728005635746,0.4096578991537766,0.41558819928134644,1.0,0.9992172468872709,0.999203500344485,0.4749850854935776,0.47474607156855464,0.47460487706091253,0.4661807045207934,0.46234201293538985,0.46861685322525987,0.47375036346006116,0.47034370641215034,0.47144505536574505,0.4730982057088393,0.4706914360866994,0.4652955245128099,0.25430025618097213,0.2372650914069053,0.2223922561530973,0.22459696653266756,0.21980197435703575,0.197739179669373,0.36023841921401095,0.34999862949426674,0.3256368805914368,0.4680662908182454,0.46756534264898697,0.45304453050232835,0.421732274089919,0.4015310597856991,0.43672391316553366,0.20956646616761507,0.22049911569128275,0.17363796437910267,0.18459278605539003,0.1390021426936929,0.20026268945550071,0.3226302734416065,0.2904878810518322,0.3154938276880726,0.4078339770388357,0.40181005811188103,0.4097597410363534,0.4157371954596761,0.3982307310664838,0.4274983759306979,0.23172988514257586,0.23606281264702406,0.1885010258057371,0.18562563145529593,0.13693320652621752,0.20102588000666613,0.3192735345072569,0.2844811878347001,0.3125782231446356,0.4007758223525107,0.39825056293705147,0.39822881429525453,0.4007301100116331,0.3814545105802166,0.37405758740426326,0.06877048035830761,0.07300541271451928,0.0578538496954046,0.10374258806384967,0.08610113321812365,0.10084316411381679,0.28168263582105785,0.2732574164216334,0.25191997214068307,0.42878554148516557,0.3988810522930645,0.4491460050804247,0.474449556043533,0.47681859467987403,0.47264450276912157,,
Male Scheduled Tribe population,0.093846755951011,0.08542084901450726,0.0030685241588997675,0.04795365169127444,0.05259002864584418,0.48948406066262395,0.4911942200581833,0.49033915360636604,0.4916530065680346,0.5064709295366734,0.5057669885542329,0.5069305415336962,0.42678572432204787,0.4237749087189678,0.4296563636082389,0.9992172468872709,1.0,0.9968428012416399,0.4904259122688149,0.49039710003531645,0.4897693597680275,0.48129910424381855,0.4774658909079606,0.4837064160223599,0.4892317905548708,0.48610314112912434,0.4854581686900775,0.4887906234395313,0.4866153160324055,0.4794890265792956,0.25915633889724177,0.24208007032436685,0.22604895438898004,0.22889863193277585,0.22474317726687917,0.20041735266361815,0.3726397554686387,0.3623286069676054,0.33627025235787783,0.4837792595395445,0.4835137404415627,0.4672182024155584,0.43336218961382716,0.41309127931091827,0.44805581165161185,0.21381725956432396,0.2251311647582808,0.17705456527109548,0.18602441971453054,0.1408331058607773,0.20107269997615135,0.33251578705321316,0.2992274162030342,0.32528359060505463,0.4199439641947097,0.4138920659424918,0.42168935067440516,0.4273370349294942,0.40979559469578763,0.43877975973949856,0.23658491885601346,0.24116755620630506,0.19234360646319917,0.187110413175754,0.13877165492640683,0.20189272664468466,0.3289699248094091,0.29297720196672516,0.3221817773945201,0.41280809816639563,0.4103227915998153,0.41000902663261346,0.41092872739859193,0.3918329402945567,0.3826329876572971,0.0698044074512039,0.07418086536280187,0.058672736494816635,0.1044032935597732,0.0871147771482567,0.10109363643846324,0.2906035187873921,0.2817059837021453,0.26003327100716267,0.4405468999817532,0.41023974576225786,0.46064476146349376,0.4898094821280624,0.49214440195809955,0.48800985706294675,,
Female Scheduled Tribe population ,0.09301049290862633,0.08676712942615343,0.0029840462450528324,0.0470944250014667,0.05261987391276118,0.45773372091530884,0.4593901453595415,0.45819509114129,0.4602604259816424,0.47407877527249276,0.47315607787987884,0.47480253840409303,0.39781106598006816,0.3947677624130892,0.40073792863775914,0.999203500344485,0.9968428012416399,1.0,0.45865594740938254,0.458205273894906,0.4585551011190738,0.45019077581632094,0.4463526466293703,0.4526521494993503,0.45738222862605704,0.4537005376658935,0.4565617226355319,0.45651827073106777,0.4538818334589033,0.4502399803160262,0.24899839118785222,0.2320317087898307,0.21835086637925355,0.2199014762158443,0.2144689627847496,0.19472396875477405,0.34715733332114357,0.33700576726489745,0.31439409106830163,0.4514736063375452,0.4507359661839677,0.43802842097954775,0.40933181553583686,0.38923294733100194,0.42460029794221293,0.20494613221278166,0.21547685399022554,0.16991609907062177,0.18285585965057935,0.13693470797634863,0.19912796475247216,0.31214664652097784,0.2812112283723271,0.3051181073168656,0.3949712954043905,0.3889851548180329,0.3970759588347794,0.40337658455532716,0.3859331685516103,0.41544034940672797,0.22646487703649326,0.23053904000108938,0.18432588380227138,0.18383345432789763,0.13486150268676453,0.1998326119921001,0.30898600778545326,0.27545971153172044,0.3023949631778977,0.3880027260881763,0.3854411699650461,0.385714024135316,0.3898067694005295,0.37038035912566053,0.36481395467137145,0.06761844115590082,0.07170389413717455,0.05693604486426611,0.10291156308996068,0.08494206640295829,0.10043055618138581,0.2722370164316171,0.2643016035679452,0.24333620086111427,0.4162413041100487,0.3867904302319451,0.4368343711561526,0.45820287505773044,0.4606025731550982,0.45639520911883436,,
Literate population ,0.07446053977429619,0.015731373637232066,0.019551235233335247,0.08366908430327899,0.03585617221354854,0.9971104584968964,0.998399874961981,0.9978964284044768,0.9979546759031246,0.9853387924682272,0.9836000870973989,0.9866438202281655,0.896560664019462,0.8961529081736528,0.8963187894957461,0.4749850854935776,0.4904259122688149,0.45865594740938254,1.0,0.9994735336745689,0.9992277101420386,0.9671554435367122,0.965494255430874,0.9669798593260703,0.9959780074189166,0.9970985522845317,0.961497943910282,0.9945607705757432,0.9955838739580898,0.9539260614994978,0.27828819504492364,0.28097349599959953,0.19908869854220115,0.31856947645960904,0.3647926186080082,0.20006570392664683,0.840349983984258,0.8376531536402544,0.7161601092690574,0.9930013865633801,0.9938690568876778,0.9532118078229735,0.8870467997124333,0.8791270391866823,0.8681170322065254,0.28262521059422463,0.3276442401971555,0.21415994466414198,0.17013827087798947,0.19265522234323,0.12088017085006937,0.7319765605249385,0.6970806976660282,0.6867758786218087,0.9169106799213268,0.9084243109286272,0.9132788389404485,0.8849150027423653,0.8775178946166735,0.8673638525303371,0.337104441620299,0.3767463508238724,0.25182434733601883,0.17325889838112468,0.19277038695125345,0.12285057630601919,0.7198470310120094,0.6795775103392571,0.6754016005073069,0.9103787930321442,0.9047616910828843,0.9044124645161845,0.7768557321469337,0.8011430271166178,0.6382915309969059,0.03535933273656252,0.0446434538247365,0.025098896773296252,0.08870608119969785,0.108988849160409,0.05644826844700006,0.6542496730819466,0.6669183951474551,0.5639425973544157,0.8952840610565606,0.8731609458242776,0.8585267809842727,0.9946062441471952,0.9910580837274883,0.9957293561290209,,
Male literate population,0.07627640354086791,0.014048307097933779,0.019863818400717,0.08297963103478287,0.03557785075811116,0.9957695043225182,0.9984879278869161,0.9988558245613749,0.9970702496361299,0.9870982948479339,0.9858373256615208,0.987870547434687,0.8912800212934796,0.8913216226586196,0.8905657887180726,0.47474607156855464,0.49039710003531645,0.458205273894906,0.9994735336745689,1.0,0.997426784733048,0.9694047663941047,0.968269521139649,0.9687891636326428,0.9957819222782776,0.998109814163488,0.9569881240508842,0.9947248336438775,0.9968938770617412,0.9495189942096753,0.2802455767089074,0.28345989088934487,0.19942985407283265,0.31937966640928145,0.36602717217490005,0.20010925566523916,0.8411375264295194,0.8392836423790871,0.715096729564229,0.993064002598179,0.9950877132886881,0.9485286674440403,0.8835389613137765,0.8762973420161445,0.8637398840820241,0.2827851482078841,0.3278042540809507,0.21429792685647053,0.17200588719701115,0.19460184873257855,0.12237305818743499,0.7321450888076964,0.6963908411000375,0.6875826884240779,0.9123299226634799,0.9048221248012674,0.907242334303087,0.881124730509155,0.8744179553188356,0.8627096054461136,0.3368796754731079,0.3765635469707439,0.25161050167580773,0.17501788114171266,0.1946405411421894,0.12418447526496808,0.7200603268368236,0.6790623818949361,0.6761525883473349,0.9055858853181902,0.9008959659338532,0.8982894722248044,0.7756162447028185,0.8002329235380017,0.6367545133590873,0.03634910556162764,0.04556668494247194,0.02601492831995023,0.09013529394033835,0.11035939473057106,0.05768230007609038,0.65424042182439,0.6656884081788602,0.5647364837570239,0.8926133079026366,0.8715148878021707,0.8540806967392177,0.9948713548244849,0.9919401785695988,0.9956386367140689,,
Female literate population ,0.07215637525246357,0.017747547392351314,0.019145102258088787,0.08438611337774722,0.036142692625819456,0.9973286646405625,0.9968855999867916,0.9953275839063089,0.9976187931809076,0.9818186483113122,0.9795038104776724,0.98376707740993,0.9016919710029179,0.9007405758303682,0.9020225079140134,0.47460487706091253,0.4897693597680275,0.4585551011190738,0.9992277101420386,0.997426784733048,1.0,0.9630677168381606,0.9607719041309507,0.9634252843964598,0.9948112651684078,0.994468018393837,0.965604156809986,0.9929598528221993,0.9925936716300015,0.9579185068135503,0.2755252642411689,0.27756609400583054,0.19839483355484314,0.3171391114711969,0.36278313944479923,0.1997308878977472,0.8382113938763791,0.8344974778269751,0.7164382556301023,0.9915255293533061,0.9909919017880632,0.9575396108614385,0.8900444859577372,0.8813145980572611,0.8721942239104368,0.28203304036120863,0.32698850569033616,0.21369089305954933,0.16763653397784956,0.19002605031475078,0.11890171483002668,0.7307404499638953,0.6969333719475002,0.6848304765932742,0.9211656679025112,0.9115061212743107,0.9193019956188354,0.8882577487590914,0.8800350110619883,0.871777699266646,0.33690137439080575,0.3764365725224784,0.2517282899579563,0.17088432728430633,0.1902336676413045,0.12106189224119768,0.7185738040186109,0.6792432498650908,0.6735398406584473,0.9148999245899857,0.9081678360817715,0.9105528665669415,0.7772615875057309,0.8011157249350361,0.6392530840050508,0.03411077114658567,0.043462390961470816,0.023954108959604283,0.08685010310208703,0.1071753260901997,0.05487415317914082,0.6533384568144434,0.6674677441391865,0.5621860282690145,0.8972563440100503,0.8739234169201143,0.8627009820751836,0.9928828840389194,0.988592499773361,0.9944353565588414,,
Illiterate population,0.13433685278230148,0.007435900650194789,0.02002622817508928,0.07853878791394024,0.03718763150474737,0.9635670291089325,0.9799815944606959,0.979834085581225,0.9791577581304733,0.988863779470496,0.9886414659891889,0.9884790318154253,0.902333580127128,0.9047609305711339,0.8990820905149098,0.4661807045207934,0.48129910424381855,0.45019077581632094,0.9671554435367122,0.9694047663941047,0.9630677168381606,1.0,0.9989416392461989,0.9992714432913443,0.9649578147747762,0.9691984985825854,0.9202633219322955,0.9569199898467416,0.962439144163809,0.899757924556106,0.34909688613756656,0.3625203557080285,0.2288687492384011,0.3972815645317193,0.4556762163871786,0.24835950004788418,0.8648737907907273,0.8696586875829947,0.7215490613057612,0.9479944404980871,0.9537841312720327,0.8896508619141361,0.9211497189660803,0.9200500307479239,0.8910924691472519,0.31876659062519735,0.37278440967152066,0.23940332760442729,0.254896867440497,0.28477149262476764,0.18490929139999926,0.7935173166593553,0.7725167352508364,0.7316783160467297,0.9296589200142508,0.9299348361695272,0.9119956822443739,0.9187379647612033,0.9189777229571631,0.8892236489370022,0.373313183828037,0.42222918258639053,0.27550371552378305,0.2562894827660244,0.2834149568434983,0.18345579419660646,0.7836513995537496,0.7581710356767102,0.7211519258668371,0.9243583144005004,0.9275879786514459,0.9047507534093525,0.8079698070159335,0.8347297909118903,0.6617428654075085,0.05598242740278954,0.06657708002147227,0.042421763469388606,0.14336113657377828,0.16639682972987857,0.09943241427468433,0.698217702893056,0.7207980194577863,0.5958894298400665,0.897999043084067,0.8846754426826327,0.8436968778268149,0.9841593733960267,0.9863586210222921,0.9819797832056463,,
Male illiterate population ,0.1267978184092547,0.005423549916314623,0.019641963843578077,0.0771694416148177,0.03604612787464848,0.9611685464627964,0.978445036063745,0.9791130195716793,0.9767126868990826,0.9870055086240589,0.9871576879755565,0.9862051932496426,0.8938069007489559,0.8967434075208602,0.89002210534061,0.46234201293538985,0.4774658909079606,0.4463526466293703,0.965494255430874,0.968269521139649,0.9607719041309507,0.9989416392461989,1.0,0.9964584197052051,0.9638515615597848,0.9691394909106523,0.9154440023056867,0.9559094996576594,0.9624208500820703,0.8948319514267143,0.34179309839441474,0.3556381245818669,0.22262198486426008,0.3911191327875352,0.4513725931731244,0.24031471366001905,0.8644275057337595,0.8716726934549852,0.7161242440152453,0.9473594768143269,0.9539837641558697,0.885614542953554,0.919292056758794,0.9194945554633299,0.887397855582474,0.31498256805508323,0.36975206482230616,0.23564071429566344,0.2495618938398638,0.28159312992251784,0.1782933318971491,0.7947892820821293,0.7752357150333133,0.7317216249207167,0.9289024904827263,0.9299414497982056,0.9100519535321734,0.9169674095653538,0.9182707855881745,0.8859927308622565,0.3696524325275368,0.4194130106632771,0.2719125852940244,0.25103140491500925,0.28025018080941355,0.17704940645657422,0.7851388064518467,0.7610946405075663,0.7213793291149383,0.9235977134815647,0.927384782103116,0.9031567839894682,0.8058222156302544,0.8351473496195423,0.6562700739981201,0.05351903038380321,0.06451583456102801,0.0399872098316778,0.14002256825407625,0.1645450479474841,0.09541331842282169,0.6985594912113222,0.7224111712349537,0.5953531496300788,0.897330830898671,0.8860521008819735,0.839067964626735,0.9823621331506928,0.9847536118067062,0.9800734207601011,,
Female illiterate population ,0.14037657106517926,0.009093714120928187,0.020312897076434192,0.07954882056440361,0.038075050719158045,0.9640089854479476,0.9796819896753356,0.978858057728838,0.9796133214265165,0.988816846320207,0.9882841521918828,0.9887775368530919,0.9079588334144988,0.9099598079900142,0.9051550820239594,0.46861685322525987,0.4837064160223599,0.4526521494993503,0.9669798593260703,0.9687891636326428,0.9634252843964598,0.9992714432913443,0.9964584197052051,1.0,0.9643253007690498,0.9676902121547627,0.9227835611185629,0.956220930533657,0.9609079358856947,0.9023996069840132,0.35459634382206523,0.367648456063293,0.23368431011773044,0.4017565545328335,0.45851502307748937,0.2546356647678622,0.8638544727860928,0.8665902392134885,0.7248909979181195,0.9469981266645676,0.9520860030282067,0.8915705874553072,0.9212110795733658,0.9190326602574691,0.8927263461436855,0.32139423327577454,0.37470155037559666,0.24214072178271262,0.2589140436605024,0.2869512063170925,0.19010182566981332,0.7911869204078202,0.7690194119294352,0.7304667645972798,0.928792853636707,0.928435186477,0.9121431652320332,0.9187309228211602,0.9180877520276232,0.89047577431109,0.3757508992417492,0.4238875075946518,0.27804081663093444,0.2602406166727365,0.28558557650825805,0.18847677033252488,0.7811580912943846,0.7545269731858049,0.7198045340765323,0.9235042259451749,0.9262661910943122,0.9046196620706027,0.8084535887397237,0.833042126486131,0.6652207017650451,0.05793649787384666,0.06818043980466021,0.04437368939774264,0.14590099135812742,0.1676660014505718,0.10260752313792441,0.6968122486482105,0.7183013625110197,0.5953769733909307,0.8971106469332715,0.8821117096640392,0.846182148295262,0.9840693584602255,0.9861055675324666,0.9819838151511938,,
Working population,0.08330304132961211,0.022230474280916696,0.017322795469920434,0.08132178472919104,0.035637767148706326,0.9977768009359401,0.9947607921183872,0.9945787109572508,0.993960630385645,0.9820125672759825,0.9795572744943006,0.9841171781867042,0.8874616616015978,0.8864443846996997,0.8878727340466964,0.47375036346006116,0.4892317905548708,0.45738222862605704,0.9959780074189166,0.9957819222782776,0.9948112651684078,0.9649578147747762,0.9638515615597848,0.9643253007690498,1.0,0.9981483268243884,0.976031105156438,0.9987750653353455,0.9969614838477838,0.9692859901571858,0.29543712376562675,0.29499122577268516,0.2182019487081835,0.33820870367043493,0.3805927535830531,0.2225423805375973,0.8396753880167893,0.8339583506197485,0.7217857720888256,0.9963074180422976,0.9946521650377627,0.9667492941693928,0.8887947420868246,0.8759700120762333,0.8769646848301061,0.29430502934325736,0.3355171803499417,0.2267563968858936,0.18398780378993582,0.20016927845487503,0.13878251417336926,0.7306087215161463,0.6933066466844263,0.6873778254126278,0.9148711379694631,0.9030181552545611,0.9165774141359411,0.8873351784914537,0.8752920162949493,0.8763318594105327,0.3487630996452482,0.3840242459926553,0.26439711225975904,0.18745437342118276,0.20067229093196884,0.14078663084566545,0.7179553885708636,0.6748128798083415,0.6759169556000222,0.909329717674921,0.9005100188593825,0.9082377847386978,0.7741246446692361,0.7926598930028645,0.6440305198626588,0.04212429284370811,0.05007815108405163,0.03193236285653093,0.09563389739865344,0.11190992499795611,0.0655641508039805,0.6548641578293779,0.6672377545121971,0.5646739673648116,0.8861082954799544,0.8605659624723402,0.856896381628239,0.9861999634917693,0.9818977281009532,0.9877654597685801,,
